Note,Length,Starting_Frame
G1,17,4243
G1,17,4519
G1,16,4796
G1,35,5072
G1,17,5349
G1,17,5625
G1,17,5902
G1,17,6180
G1,17,6456
G1,17,6733
G1,34,7010
G2,4,266
G2,8,318
G2,4,339
G2,4,404
G2,8,456
G2,4,478
G2,4,543
G2,8,595
G2,4,616
G2,4,681
G2,8,733
G2,4,755
G2,4,819
G2,8,871
G2,4,892
G2,4,957
G2,8,1009
G2,4,1031
G2,3,1096
G2,9,1147
G2,4,1169
G2,4,1234
G2,8,1286
G2,4,1308
G2,3,1373
G2,8,1494
G2,8,1563
G2,8,1770
G2,8,1839
G2,8,2047
G2,8,2117
G2,8,2186
G2,4,2342
G2,8,2394
G2,4,2414
G2,4,2479
G2,8,2531
G2,4,2553
G2,4,2618
G2,8,2670
G2,4,2691
G2,4,2756
G2,8,2808
G2,4,2830
G2,4,2895
G2,9,2946
G2,4,2968
G2,4,3033
G2,8,3085
G2,4,3107
G2,3,3172
G2,9,3222
G2,4,3244
G2,4,3309
G2,8,3430
G2,9,3499
G2,8,3707
G2,9,3776
G2,8,3984
G2,8,4052
G2,9,4121
G2,8,4260
G2,8,4329
G2,9,4398
G2,8,4537
G2,8,4606
G2,9,4675
G2,8,4813
G2,8,4882
G2,8,4951
G2,34,5090
G2,51,5159
G2,34,5228
G2,17,5263
G2,8,5367
G2,8,5436
G2,9,5642
G2,8,5712
G2,9,5919
G2,8,5989
G2,9,6058
G2,9,6197
G2,8,6267
G2,8,6336
G2,8,6473
G2,9,6542
G2,8,6612
G2,8,6750
G2,9,6819
G2,8,6889
G2,34,7027
G2,17,7096
G2,34,7114
G2,50,7166
G2♭,7,1632
G2♭,7,1701
G2♭,7,1909
G2♭,7,1978
G2♭,7,2256
G2♭,8,3569
G2♭,8,3638
G2♭,7,3846
G2♭,8,3915
G2♭,8,4191
G2♭,8,4468
G2♭,7,4745
G2♭,7,5021
G2♭,16,5125
G2♭,7,5506
G2♭,7,5575
G2♭,7,5782
G2♭,7,5851
G2♭,7,6129
G2♭,7,6405
G2♭,7,6682
G2♭,8,6958
G2♭,16,7062
G2♭,12,7217
G2♭,12,7230
G2♭,12,7243
G2♭,12,7256
G2♭,16,7269
G3,4,443
G3,4,512
G3,17,595
